,Year,Avg. Pace,PLAYER,TEAM,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year?,Play Pct.,Adjusted PTS,Adjusted REB,Adjusted AST,Adjusted STL,Adjusted BLK,Adjusted TOV,Adjusted 3PM,AS Prob.,Conf.
0,2020,99.5,Giannis Antetokounmpo,MIL,3,32,33,20,28.9,11.7,5.9,1.3,1.3,3.7,0.618,1.1,1.9,33.6,19.2,4,1,0.9696969696969697,0.2904522613065326,0.11758793969849246,0.05929648241206031,0.01306532663316583,0.01306532663316583,0.03718592964824121,0.011055276381909548,0.9999999999820666,East
1,2020,99.5,Joel Embiid,PHI,1,27,33,22,29.6,11.2,3.1,1.3,1.3,3.3,0.644,1.2,1.7,34.0,20.8,3,1,0.8181818181818182,0.2974874371859297,0.11256281407035175,0.031155778894472363,0.01306532663316583,0.01306532663316583,0.03316582914572864,0.012060301507537688,0.9999999999383389,East
2,2020,99.5,Bradley Beal,WAS,12,28,30,12,32.8,5.2,4.8,1.4,0.4,3.2,0.594,2.4,0.6,35.7,15.9,3,0,0.9333333333333333,0.32964824120603015,0.05226130653266332,0.04824120603015075,0.014070351758793969,0.004020100502512563,0.032160804020100506,0.024120603015075376,0.9999999825349598,East
3,2020,99.5,Domantas Sabonis,IND,4,30,30,15,21.5,11.7,5.7,1.0,0.7,3.5,0.597,1.0,1.5,25.5,14.5,1,1,1.0,0.21608040201005024,0.11758793969849246,0.05728643216080402,0.010050251256281407,0.007035175879396984,0.035175879396984924,0.010050251256281407,0.9999998358004255,East
4,2020,99.5,Russell Westbrook,WAS,12,23,30,12,19.7,9.7,9.7,0.9,0.3,4.8,0.48100000000000004,1.0,0.7,30.9,13.5,9,1,0.7666666666666667,0.1979899497487437,0.09748743718592964,0.09748743718592964,0.009045226130653266,0.003015075376884422,0.04824120603015075,0.010050251256281407,0.99999983399788,East
5,2020,99.5,Zach LaVine,CHI,7,31,31,15,28.8,5.3,5.0,1.1,0.4,3.9,0.653,3.6,1.0,31.0,14.5,0,0,1.0,0.2894472361809045,0.053266331658291456,0.05025125628140704,0.011055276381909548,0.004020100502512563,0.03919597989949749,0.036180904522613064,0.9999998190784661,East
6,2020,99.5,Trae Young,ATL,11,30,32,14,27.2,4.0,9.5,0.8,0.3,4.3,0.601,2.4,0.5,32.9,15.1,1,1,0.9375,0.2733668341708543,0.04020100502512563,0.09547738693467336,0.008040201005025126,0.003015075376884422,0.04321608040201005,0.024120603015075376,0.9999996998507618,East
7,2020,99.5,Julius Randle,NYK,6,33,33,16,23.2,11.0,5.5,0.7,0.2,3.3,0.5870000000000001,1.9,1.9,27.7,16.7,0,0,1.0,0.23316582914572864,0.11055276381909548,0.05527638190954774,0.007035175879396984,0.0020100502512562816,0.03316582914572864,0.01909547738693467,0.9999994649725461,East
8,2020,99.5,Nikola Vučević,ORL,13,33,33,13,24.1,11.7,3.6,1.0,0.6,1.7,0.5660000000000001,2.5,1.6,29.1,17.7,2,0,1.0,0.24221105527638193,0.11758793969849246,0.036180904522613064,0.010050251256281407,0.006030150753768844,0.017085427135678392,0.02512562814070352,0.9999989366500998,East
9,2020,99.5,Jayson Tatum,BOS,9,27,32,15,25.6,6.9,4.5,1.3,0.5,2.5,0.551,2.7,1.1,31.2,14.5,1,1,0.84375,0.25728643216080405,0.06934673366834171,0.04522613065326633,0.01306532663316583,0.005025125628140704,0.02512562814070352,0.0271356783919598,0.9999987540469127,East
10,2020,99.5,Ben Simmons,PHI,1,28,33,22,15.7,8.1,7.9,1.6,0.8,3.1,0.606,0.0,1.5,20.2,14.0,2,1,0.8484848484848485,0.1577889447236181,0.0814070351758794,0.07939698492462312,0.016080402010050253,0.008040201005025126,0.031155778894472363,0.0,0.9999977616594873,East
11,2020,99.5,Jimmy Butler,MIA,10,20,32,15,19.5,7.7,7.8,1.9,0.4,2.3,0.556,0.4,1.1,26.7,18.3,5,1,0.625,0.19597989949748743,0.07738693467336684,0.07839195979899498,0.01909547738693467,0.004020100502512563,0.023115577889447233,0.004020100502512563,0.9999974712864039,East
12,2020,99.5,LeBron James,LAL,3,33,33,22,25.6,8.1,8.0,1.0,0.5,3.9,0.5920000000000001,2.4,2.1,31.9,19.4,16,1,1.0,0.25728643216080405,0.0814070351758794,0.08040201005025126,0.010050251256281407,0.005025125628140704,0.03919597989949749,0.024120603015075376,0.9999999999973115,West
13,2020,99.5,Kevin Durant,BRK,2,19,34,22,29.0,7.3,5.3,0.7,1.4,3.5,0.652,2.6,0.7,31.3,16.3,11,0,0.5588235294117647,0.2914572864321608,0.07336683417085427,0.053266331658291456,0.007035175879396984,0.014070351758793969,0.035175879396984924,0.02613065326633166,0.9999999999942915,West
14,2020,99.5,James Harden,BRK,2,20,34,22,24.9,8.5,11.4,1.2,0.7,4.2,0.652,3.3,0.7,26.4,16.8,8,1,0.5882352941176471,0.25025125628140704,0.08542713567839195,0.11457286432160804,0.012060301507537688,0.007035175879396984,0.042211055276381915,0.03316582914572864,0.9999999999470184,West
15,2020,99.5,Stephen Curry,GSW,7,32,33,18,30.0,5.5,6.3,1.2,0.1,3.1,0.648,5.0,1.3,32.5,17.8,7,0,0.9696969696969697,0.3015075376884422,0.05527638190954774,0.06331658291457286,0.012060301507537688,0.0010050251256281408,0.031155778894472363,0.05025125628140704,0.9999999985877894,West
16,2020,99.5,Anthony Davis,LAL,3,23,33,22,22.5,8.4,3.0,1.3,1.8,2.0,0.588,0.7,1.7,27.9,16.3,8,1,0.696969696969697,0.22613065326633167,0.08442211055276383,0.03015075376884422,0.01306532663316583,0.018090452261306532,0.020100502512562814,0.007035175879396984,0.9999999982042016,West
17,2020,99.5,Kyrie Irving,BRK,2,24,34,22,27.4,4.7,5.9,1.2,0.6,2.4,0.625,2.8,0.6,29.9,14.7,7,0,0.7058823529411765,0.27537688442211056,0.04723618090452261,0.05929648241206031,0.012060301507537688,0.006030150753768844,0.024120603015075376,0.028140703517587937,0.9999999981963932,West
18,2020,99.5,Nikola Jokić,DEN,8,32,32,17,26.9,10.9,8.4,1.7,0.7,3.3,0.649,1.6,1.5,29.1,20.6,2,1,1.0,0.27035175879396983,0.10954773869346734,0.08442211055276383,0.017085427135678392,0.007035175879396984,0.03316582914572864,0.016080402010050253,0.9999999981736309,West
19,2020,99.5,Damian Lillard,POR,5,30,31,18,29.6,4.4,8.0,1.0,0.2,3.3,0.618,4.1,0.3,32.7,16.4,5,1,0.967741935483871,0.2974874371859297,0.044221105527638194,0.08040201005025126,0.010050251256281407,0.0020100502512562816,0.03316582914572864,0.04120603015075377,0.9999999975737728,West
20,2020,99.5,Luka Dončić,DAL,10,30,31,15,28.5,8.4,9.0,1.0,0.7,4.3,0.585,2.6,1.1,35.8,18.7,1,1,0.967741935483871,0.2864321608040201,0.08442211055276383,0.09045226130653267,0.010050251256281407,0.007035175879396984,0.04321608040201005,0.02613065326633166,0.9999999950895839,West
21,2020,99.5,Kawhi Leonard,LAC,2,27,34,23,26.7,6.1,4.9,1.6,0.6,1.9,0.614,2.0,1.1,30.1,17.2,4,1,0.7941176470588235,0.26834170854271355,0.06130653266331658,0.0492462311557789,0.016080402010050253,0.006030150753768844,0.01909547738693467,0.020100502512562814,0.9999999910184546,West
22,2020,99.5,Paul George,LAC,2,24,34,23,24.1,6.2,5.3,1.2,0.5,3.5,0.66,3.6,0.9,29.0,15.2,7,0,0.7058823529411765,0.24221105527638193,0.062311557788944726,0.053266331658291456,0.012060301507537688,0.005025125628140704,0.035175879396984924,0.036180904522613064,0.9999999843079075,West
23,2020,99.5,Rudy Gobert,UTA,1,32,32,26,14.0,13.3,1.2,0.4,2.8,1.8,0.648,0.0,2.3,18.0,15.9,1,1,1.0,0.1407035175879397,0.13366834170854272,0.012060301507537688,0.004020100502512563,0.028140703517587937,0.018090452261306532,0.0,0.9999996488600026,West
