PLAYER,TEAM,Conf.,AS Prob.,Model Prediction
Aaron Gordon,ORL,East,1.0,Yes
Rodney Hood,POR,West,1.0,No
Anthony Davis,LAL,West,1.0,No
Zion Williamson,NOP,West,1.0,No
Nicolas Claxton,BRK,West,1.0,No
Xavier Tillman Sr.,MEM,West,1.0,No
Will Barton,DEN,West,1.0,No
Wesley Matthews,LAL,West,1.0,No
Vlatko Čančar,DEN,West,1.0,No
Victor Oladipo,HOU,West,1.0,No
Vernon Carey Jr.,CHO,West,1.0,No
Udoka Azubuike,UTA,West,1.0,No
Tyus Jones,MEM,West,1.0,No
Tyrese Haliburton,SAC,West,1.0,No
Tyler Johnson,BRK,West,1.0,No
Tyler Bey,DAL,West,1.0,No
Trey Lyles,SAS,West,1.0,No
Trey Burke,DAL,West,1.0,No
Willy Hernangómez,NOP,West,1.0,No
John Wall,HOU,West,1.0,No
Nicolas Batum,LAC,West,1.0,No
Nickeil Alexander-Walker,NOP,West,1.0,No
Landry Shamet,BRK,West,1.0,No
LaMelo Ball,CHO,West,1.0,No
LaMarcus Aldridge,SAS,West,1.0,No
Brandon Ingram,NOP,West,1.0,No
Chris Paul,PHO,West,1.0,No
Damian Lillard,POR,West,1.0,No
Patrick Beverley,LAC,West,1.0,No
Robert Covington,POR,West,1.0,No
Richaun Holmes,SAC,West,1.0,No
Reggie Perry,BRK,West,1.0,No
Reggie Jackson,LAC,West,1.0,No
Quinn Cook,LAL,West,1.0,No
PJ Dozier,DEN,West,1.0,No
Paul Millsap,DEN,West,1.0,No
Paul George,LAC,West,1.0,No
Patty Mills,SAS,West,1.0,No
Patrick Patterson,LAC,West,1.0,No
P.J. Washington,CHO,West,1.0,No
Devin Booker,PHO,West,1.0,No
Tim Hardaway Jr.,DAL,West,1.0,No
Timothé Luwawu-Cabarrot,BRK,West,1.0,No
Tre Jones,SAS,West,1.0,No
Trent Forrest,UTA,West,1.0,No
Nikola Jokić,DEN,West,1.0,No
Luka Dončić,DAL,West,1.0,No
LeBron James,LAL,West,1.0,No
Kawhi Leonard,LAC,West,1.0,No
James Harden,BRK,West,1.0,No
Donovan Mitchell,UTA,West,1.0,No
Kyrie Irving,BRK,West,1.0,No
Kyle Kuzma,LAL,West,1.0,No
Kyle Anderson,MEM,West,1.0,No
Mfiondu Kabengele,LAC,West,1.0,No
Mychal Mulder,GSW,West,1.0,No
Moses Brown,OKC,West,1.0,No
Montrezl Harrell,LAL,West,1.0,No
Monte Morris,DEN,West,1.0,No
Miye Oni,UTA,West,1.0,No
Miles Bridges,CHO,West,1.0,No
Mike Muscala,OKC,West,1.0,No
Mike Conley,UTA,West,1.0,No
Nico Mannion,GSW,West,1.0,No
Mikal Bridges,PHO,West,1.0,No
Mason Jones,HOU,West,1.0,No
Naz Reid,MIN,West,1.0,No
Marvin Bagley III,SAC,West,1.0,Yes
Marquese Chriss,GSW,West,1.0,Yes
Markus Howard,DEN,West,1.0,Yes
Markieff Morris,LAL,West,1.0,Yes
Marcus Morris,LAC,West,1.0,Yes
Marc Gasol,LAL,West,1.0,Yes
Malik Monk,CHO,West,1.0,Yes
Malik Beasley,MIN,West,1.0,Yes
Luke Kennard,LAC,West,1.0,Yes
Luka Šamanić,SAS,West,1.0,Yes
Nassir Little,POR,West,1.0,No
Nemanja Bjelica,SAC,West,1.0,No
Kristaps Porziņģis,DAL,West,1.0,No
Juwan Morgan,UTA,West,1.0,No
Kostas Antetokounmpo,LAL,West,1.0,No
Kira Lewis Jr.,NOP,West,1.0,No
Kevon Looney,GSW,West,1.0,No
Kevin Durant,BRK,West,1.0,No
Kentavious Caldwell-Pope,LAL,West,1.0,No
Kent Bazemore,GSW,West,1.0,No
Kelly Oubre Jr.,GSW,West,1.0,No
Keldon Johnson,SAS,West,1.0,No
Keita Bates-Diop,SAS,West,1.0,No
Al Horford,OKC,West,1.0,No
Jusuf Nurkić,POR,West,1.0,No
Nick Richards,CHO,West,1.0,No
Justise Winslow,MEM,West,1.0,No
Justin Jackson,OKC,West,1.0,No
Juan Toscano-Anderson,GSW,West,1.0,No
Josh Richardson,DAL,West,1.0,No
Jordan Poole,GSW,West,1.0,No
Jordan Clarkson,UTA,West,1.0,No
Langston Galloway,PHO,West,1.0,No
Lonnie Walker,SAS,West,1.0,No
Lonzo Ball,NOP,West,1.0,No
Marcus Smart,BOS,East,1.0,Yes
Robert Woodard,SAC,West,1.0,No
Royce O'Neale,UTA,West,1.0,No
Abdel Nader,PHO,West,1.0,Yes
Rudy Gay,SAS,West,1.0,No
Andrew Wiggins,GSW,West,1.0,No
Jaylen Nowell,MIN,West,1.0,No
Anfernee Simons,POR,West,1.0,No
Anthony Edwards,MIN,West,1.0,No
Boban Marjanović,DAL,West,1.0,No
Jarrett Allen,BRK,West,1.0,No
Jarrell Brantley,UTA,West,1.0,No
Bojan Bogdanović,UTA,West,1.0,No
JaMychal Green,DEN,West,1.0,No
James Wiseman,GSW,West,1.0,No
Brad Wanamaker,GSW,West,1.0,No
Harrison Barnes,SAC,West,1.0,No
Jamal Murray,DEN,West,1.0,No
Jalen Smith,PHO,West,1.0,No
Hamidou Diallo,OKC,West,1.0,No
Gordon Hayward,CHO,West,1.0,No
Gorgui Dieng,MEM,West,1.0,No
CJ Elleby,POR,West,1.0,No
CJ McCollum,POR,West,1.0,No
Desmond Bane,MEM,West,1.0,No
Derrick White,SAS,West,1.0,No
Derrick Jones Jr.,POR,West,1.0,No
Derrick Favors,UTA,West,1.0,No
Jeff Green,BRK,West,1.0,No
Amir Coffey,LAC,West,1.0,No
Alfonzo McKinnie,LAL,West,1.0,No
Jalen Brunson,DAL,West,1.0,No
Buddy Hield,SAC,West,1.0,No
Dario Šarić,PHO,West,1.0,No
Jae Crowder,PHO,West,1.0,No
Brodric Thomas,HOU,West,1.0,No
Jakob Poeltl,SAS,West,1.0,No
Bruno Caboclo,HOU,West,1.0,No
Bruce Brown,BRK,West,1.0,No
J.J. Redick,NOP,West,1.0,No
Cameron Johnson,PHO,West,1.0,No
Ja Morant,MEM,West,1.0,No
Ivica Zubac,LAC,West,1.0,No
Jevon Carter,PHO,West,1.0,No
Isaiah Roby,OKC,West,1.0,No
Isaiah Hartenstein,DEN,West,1.0,No
Hassan Whiteside,SAC,West,1.0,No
Harry Giles,POR,West,1.0,No
Caleb Martin,CHO,West,1.0,No
Jalen McDaniels,CHO,West,1.0,No
James Johnson,DAL,West,1.0,No
Brandon Clarke,MEM,West,1.0,No
Joe Harris,BRK,West,1.0,No
Alex Caruso,LAL,West,1.0,No
Dennis Schröder,LAL,West,1.0,No
DeMarcus Cousins,HOU,West,1.0,No
DeMar DeRozan,SAS,West,1.0,No
Rudy Gobert,UTA,West,1.0,No
Caris LeVert,BRK,West,1.0,No
E'Twaun Moore,PHO,West,1.0,No
Carmelo Anthony,POR,West,1.0,No
Chimezie Metu,SAC,West,1.0,No
Chris Chiozza,BRK,West,1.0,No
Drew Eubanks,SAS,West,1.0,No
Draymond Green,GSW,West,1.0,No
Christian Wood,HOU,West,1.0,No
Dillon Brooks,MEM,West,1.0,No
Grayson Allen,MEM,West,1.0,No
Karl-Anthony Towns,MIN,West,1.0,No
Enes Kanter,POR,West,1.0,No
Jonas Valančiūnas,MEM,West,1.0,No
Terry Rozier,CHO,West,1.0,No
Terance Mann,LAC,West,1.0,No
Taurean Prince,BRK,West,1.0,No
Talen Horton-Tucker,LAL,West,1.0,No
Stephen Curry,GSW,West,1.0,No
Spencer Dinwiddie,BRK,West,1.0,No
Shaquille Harrison,UTA,West,1.0,No
Shai Gilgeous-Alexander,OKC,West,1.0,No
Serge Ibaka,LAC,West,1.0,No
Elijah Hughes,UTA,West,1.0,No
Eric Bledsoe,NOP,West,1.0,No
Joe Ingles,UTA,West,1.0,No
Cody Martin,CHO,West,1.0,No
Dejounte Murray,SAS,West,1.0,No
Cody Zeller,CHO,West,1.0,No
DeAndre Jordan,BRK,West,1.0,No
Deandre Ayton,PHO,West,1.0,No
De'Anthony Melton,MEM,West,1.0,No
D'Angelo Russell,MIN,West,1.0,No
De'Aaron Fox,SAC,West,1.0,No
Damian Jones,PHO,West,1.0,No
Damion Lee,GSW,West,1.0,No
Darius Bazley,OKC,West,1.0,No
Devin Vassell,SAS,West,1.0,No
Eric Gordon,HOU,West,1.0,No
Devontae Cacok,LAL,West,1.0,No
Devonte' Graham,CHO,West,1.0,No
Daniel Oturu,LAC,West,1.0,No
Georges Niang,UTA,West,1.0,No
George Hill,OKC,West,1.0,No
Cameron Payne,PHO,West,1.0,No
Gary Trent Jr.,POR,West,1.0,No
Frank Kaminsky,PHO,West,1.0,No
Facundo Campazzo,DEN,West,1.0,No
Eric Paschall,GSW,West,1.0,No
Michael Porter Jr.,DEN,West,1.0,Yes
Lou Williams,LAC,West,1.0,No
Seth Curry,PHI,East,1.0,No
T.J. Warren,IND,East,1.0,No
Skylar Mays,ATL,East,1.0,No
Shake Milton,PHI,East,1.0,No
Sam Merrill,MIL,East,1.0,No
Ryan Arcidiacono,CHI,East,1.0,No
Rui Hachimura,WAS,East,1.0,No
Robert Williams,BOS,East,1.0,No
RJ Barrett,NYK,East,1.0,No
Stanley Johnson,TOR,East,1.0,No
Torrey Craig,MIL,East,1.0,No
Tremont Waters,BOS,East,1.0,No
Tristan Thompson,BOS,East,1.0,No
Russell Westbrook,WAS,East,1.0,No
Pascal Siakam,TOR,East,1.0,No
Kyle Lowry,TOR,East,1.0,No
Khris Middleton,MIL,East,1.0,No
Kemba Walker,BOS,East,1.0,No
Joel Embiid,PHI,East,1.0,No
Jimmy Butler,MIA,East,1.0,No
Jayson Tatum,BOS,East,1.0,No
Giannis Antetokounmpo,MIL,East,1.0,No
Domantas Sabonis,IND,East,1.0,No
Ben Simmons,PHI,East,1.0,No
Bam Adebayo,MIA,East,1.0,No
T.J. McConnell,IND,East,1.0,No
Terence Davis,TOR,East,1.0,No
Danilo Gallinari,ATL,East,1.0,No
Terrence Ross,ORL,East,1.0,No
Bogdan Bogdanović,ATL,East,1.0,No
Dwight Howard,PHI,East,1.0,No
Duncan Robinson,MIA,East,1.0,No
Doug McDermott,IND,East,1.0,No
Devon Dotson,CHI,East,1.0,No
Derrick Rose,DET,East,1.0,No
Elfrid Payton,NYK,East,1.0,No
Denzel Valentine,CHI,East,1.0,No
DeAndre' Bembry,TOR,East,1.0,No
Brandon Goodwin,ATL,East,1.0,No
Brian Bowen,IND,East,1.0,No
De'Andre Hunter,ATL,East,1.0,No
Darius Garland,CLE,East,1.0,No
Jalen Lecque,IND,East,1.0,No
Bradley Beal,WAS,East,1.0,No
Trae Young,ATL,East,1.0,No
Justin Holiday,IND,East,1.0,No
JaVale McGee,CLE,East,1.0,No
Tomáš Satoranský,CHI,East,1.0,No
Tobias Harris,PHI,East,1.0,No
Thomas Bryant,WAS,East,1.0,No
Thanasis Antetokounmpo,MIL,East,1.0,No
Thaddeus Young,CHI,East,1.0,No
Zach LaVine,CHI,East,1.0,No
Yuta Watanabe,TOR,East,1.0,No
Yogi Ferrell,CLE,East,1.0,No
Wendell Carter Jr.,CHI,East,1.0,No
Malachi Flynn,TOR,East,1.0,No
Jared Harper,NYK,East,1.0,No
Malcolm Brogdon,IND,East,1.0,No
Markelle Fultz,ORL,East,1.0,No
Paul Watson,TOR,East,1.0,No
Paul Reed,PHI,East,1.0,No
Patrick Williams,CHI,East,1.0,No
Pat Connaughton,MIL,East,1.0,No
Otto Porter,CHI,East,1.0,No
OG Anunoby,TOR,East,1.0,No
Obi Toppin,NYK,East,1.0,No
Norman Powell,TOR,East,1.0,No
Nikola Vučević,ORL,East,1.0,No
Nerlens Noel,NYK,East,1.0,Yes
Nathan Knight,ATL,East,1.0,Yes
Myles Turner,IND,East,1.0,Yes
Moritz Wagner,WAS,East,1.0,Yes
Mo Bamba,ORL,East,1.0,Yes
Mitchell Robinson,NYK,East,1.0,Yes
Mike Scott,PHI,East,1.0,Yes
Max Strus,MIA,East,1.0,Yes
Matt Thomas,TOR,East,1.0,Yes
Matisse Thybulle,PHI,East,1.0,Yes
Jaylen Adams,MIL,East,1.0,No
Jaylen Brown,BOS,East,1.0,No
Jeff Teague,BOS,East,1.0,No
Kevin Knox,NYK,East,1.0,No
Vincent Poirier,PHI,East,1.0,No
Tyrese Maxey,PHI,East,1.0,No
Tyler Herro,MIA,East,1.0,No
Reggie Bullock,NYK,East,1.0,No
Rajon Rondo,ATL,East,1.0,No
Precious Achiuwa,MIA,East,1.0,No
Payton Pritchard,BOS,East,1.0,No
Luke Kornet,CHI,East,1.0,No
Lauri Markkanen,CHI,East,1.0,No
Kevin Love,CLE,East,1.0,No
Kevin Huerter,ATL,East,1.0,No
Jerami Grant,DET,East,1.0,No
Kendrick Nunn,MIA,East,1.0,No
Kelly Olynyk,MIA,East,1.0,No
Kelan Martin,IND,East,1.0,No
Aaron Holiday,IND,East,1.0,No
Julius Randle,NYK,East,1.0,No
Jrue Holiday,MIL,East,1.0,No
Josh Jackson,DET,East,1.0,No
Jordan Nwora,MIL,East,1.0,No
John Collins,ATL,East,1.0,No
Jeremy Lamb,IND,East,1.0,No
Danny Green,PHI,East,1.0,No
Tony Bradley,PHI,East,1.0,No
Daniel Theis,BOS,East,1.0,No
Goga Bitadze,IND,East,1.0,No
Isaiah Joe,PHI,East,1.0,No
Alex Len,TOR,East,1.0,No
Andre Drummond,CLE,East,1.0,No
Immanuel Quickley,NYK,East,1.0,No
Ignas Brazdeikis,NYK,East,1.0,No
Goran Dragić,MIA,East,1.0,No
Aron Baynes,TOR,East,1.0,No
Austin Rivers,NYK,East,1.0,No
JaKarr Sampson,IND,East,1.0,No
Garrett Temple,CHI,East,1.0,No
Gabe Vincent,MIA,East,1.0,No
Daniel Gafford,CHI,East,1.0,No
Fred VanVleet,TOR,East,1.0,No
Blake Griffin,DET,East,1.0,No
Bobby Portis,MIL,East,1.0,No
Frank Ntilikina,NYK,East,1.0,No
Alec Burks,NYK,East,1.0,No
Cedi Osman,CLE,East,1.0,No
Furkan Korkmaz,PHI,East,1.0,No
Clint Capela,ATL,East,1.0,No
D.J. Augustin,MIL,East,1.0,No
Cristiano Felício,CHI,East,1.0,No
Collin Sexton,CLE,East,1.0,No
Brook Lopez,MIL,East,1.0,No
Cole Anthony,ORL,East,1.0,No
Coby White,CHI,East,1.0,No
Evan Fournier,ORL,East,1.0,No
Dakota Mathias,PHI,East,1.0,No
Bryn Forbes,MIL,East,1.0,No
Chris Silva,MIA,East,1.0,No
Chris Boucher,TOR,East,1.0,No
Carsen Edwards,BOS,East,1.0,No
Edmond Sumner,IND,East,1.0,No
Donte DiVincenzo,MIL,East,1.0,No
D.J. Wilson,MIL,East,1.0,No
Luguentz Dort,OKC,West,0.9999999999999996,No
Tacko Fall,BOS,East,0.9999999999999918,No
Raul Neto,WAS,East,0.9999999999998923,No
Cam Reddish,ATL,East,0.99999999999979,No
Adam Mokoka,CHI,East,0.999999990583983,No
Robin Lopez,WAS,East,0.9999999534471191,No
Chandler Hutchison,CHI,East,0.9999988073953329,No
Norvel Pelle,BRK,West,0.999978253687537,No
Dennis Smith Jr.,DET,East,0.9999401729322533,No
R.J. Hampton,DEN,West,0.9993632840011699,No
Josh Hart,NOP,West,0.9981316687546843,No
Thon Maker,CLE,East,0.9725467059991255,No
Delon Wright,DET,East,0.40046135971579716,No
Dwayne Bacon,ORL,East,0.33187188313873717,No
Taj Gibson,NYK,East,0.1266104296041025,No
Mason Plumlee,DET,East,0.09562665113031896,No
Andre Roberson,BRK,West,1.381529432940147e-05,No
Ish Smith,WAS,East,1.2538461368189683e-05,No
Zeke Nnaji,DEN,West,8.963277436485142e-06,No
Javonte Green,BOS,East,5.691911308567099e-06,No
Avery Bradley,MIA,East,6.3952525281243e-07,No
Cassius Stanley,IND,East,2.6511243608926866e-07,No
Willie Cauley-Stein,DAL,West,5.17547418909111e-09,No
Steven Adams,NOP,West,7.953226139454452e-12,No
Bismack Biyombo,CHO,West,7.0379555289641894e-12,No
Iman Shumpert,BRK,West,4.331548862660104e-12,No
Gary Harris,DEN,West,1.802824689270628e-14,No
Andre Iguodala,MIA,East,3.034481510710391e-15,No
Saddiq Bey,DET,East,5.142935410589865e-19,No
Tyrell Terry,DAL,West,2.6997777055861516e-21,No
John Konchar,MEM,West,2.2856305424012272e-23,No
Nate Hinton,DAL,West,1.0990985731542058e-23,No
Kenrich Williams,OKC,West,5.63089331943077e-24,No
Kyle Guy,SAC,West,4.079649957706991e-24,No
Dāvis Bertāns,WAS,East,1.3060503092145395e-26,No
Dwight Powell,DAL,West,4.415644440519333e-27,No
Semi Ojeleye,BOS,East,2.23474007165958e-27,No
Sviatoslav Mykhailiuk,DET,East,1.9785380879670027e-27,No
Damyean Dotson,CLE,East,1.6576707386450905e-29,No
David Nwaba,HOU,West,1.585275599093592e-29,No
Meyers Leonard,MIA,East,1.162516416980109e-30,No
Jaxson Hayes,NOP,West,7.604087326881616e-31,No
Bol Bol,DEN,West,1.123556816201147e-31,No
Garrison Mathews,WAS,East,1.130372683288594e-36,No
Onyeka Okongwu,ATL,East,1.4388880150204864e-39,No
Théo Maledon,OKC,West,6.297163496741483e-40,No
Michael Carter-Williams,ORL,East,9.81657918182996e-41,No
Jahlil Okafor,DET,East,7.178998715466871e-41,No
Ben McLemore,HOU,West,3.593393936009623e-42,No
Jordan McLaughlin,MIN,West,1.3024674040639177e-44,No
Kenyon Martin Jr.,HOU,West,1.8561377322778537e-45,No
Ricky Rubio,MIN,West,6.932487157982225e-47,No
Rodions Kurucs,BRK,West,2.99479048241375e-48,No
Darius Miller,OKC,West,7.050009903521465e-54,No
Khem Birch,ORL,East,3.3956859706226646e-57,No
Sterling Brown,HOU,West,1.3643034396066878e-57,No
Saben Lee,DET,East,7.031775673289183e-61,No
Jae'Sean Tate,HOU,West,4.589061247324763e-61,No
Maxi Kleber,DAL,West,1.5215078891889825e-61,No
Bruno Fernando,ATL,East,1.4688857317996394e-62,No
Jordan Bell,WAS,East,3.1646206629268215e-63,No
Jarred Vanderbilt,MIN,West,5.3137686309775635e-64,No
Jake Layman,MIN,West,9.941019422604103e-65,No
Marques Bolden,CLE,East,4.2336034300842806e-65,No
Dylan Windler,CLE,East,2.1038671246178347e-65,No
Troy Brown Jr.,WAS,East,5.075176332339386e-66,No
Jared Dudley,LAL,West,2.2480929655211197e-67,No
Jerome Robinson,WAS,East,9.775749113087984e-71,No
Wayne Ellington,DET,East,5.856262964653358e-71,No
Frank Jackson,DET,East,6.743914026886371e-73,No
Jarrett Culver,MIN,West,3.112721867987718e-73,No
Frank Mason III,ORL,East,2.1350083639187744e-73,No
Noah Vonleh,BRK,West,7.869707858973957e-74,No
Dorian Finney-Smith,DAL,West,1.1808791739135099e-74,No
Larry Nance Jr.,CLE,East,2.7756622195494264e-76,No
Grant Williams,BOS,East,3.923628198474827e-77,No
Aleksej Pokusevski,OKC,West,3.1576029918544287e-77,No
Jahmi'us Ramsey,SAC,West,2.6296756916246475e-81,No
James Ennis,ORL,East,3.5229144926937203e-82,No
Justin James,SAC,West,6.4183778129549534e-83,No
Juan Hernangómez,MIN,West,6.907590431487348e-84,No
Lamar Stevens,CLE,East,2.8139550531468667e-84,No
Tim Frazier,MEM,West,4.644923226243891e-86,No
Tyler Cook,BRK,West,2.250079062224165e-87,No
Isaiah Stewart,DET,East,1.9020521073856966e-90,No
Naji Marshall,NOP,West,4.454759639699173e-91,No
Deni Avdija,WAS,East,7.695573401844413e-92,No
Aaron Nesmith,BOS,East,1.0158088771899349e-94,No
Cory Joseph,SAC,West,4.755280117741823e-97,No
Danuel House,HOU,West,1.7691461658417665e-98,No
Quinndary Weatherspoon,SAS,West,3.700692143731969e-99,No
Anthony Gill,WAS,East,2.4004274718445162e-101,No
Dean Wade,CLE,East,9.497433086358746e-102,No
Tony Snell,ATL,East,9.308503532664145e-104,No
Josh Hall,OKC,West,2.0617565800010487e-104,No
Al-Farouq Aminu,ORL,East,5.3470313926107654e-105,No
Sindarius Thornwell,NOP,West,4.146100127228931e-106,No
Glenn Robinson III,SAC,West,7.883974036127434e-107,No
Keljin Blevins,POR,West,1.83509316549967e-110,No
Jabari Parker,SAC,West,6.112997861330232e-111,No
Josh Green,DAL,West,3.4857007088753295e-115,No
Sean McDermott,MEM,West,3.444049581041413e-115,No
Cassius Winston,WAS,East,3.850485784146637e-120,No
Wenyen Gabriel,NOP,West,1.516715572164251e-121,No
Solomon Hill,ATL,East,4.108054027119352e-122,No
Jordan Bone,ORL,East,3.5977352199025457e-122,No
Rodney McGruder,DET,East,2.214616307867256e-122,No
Nicolò Melli,NOP,West,6.789585420235618e-124,No
Sekou Doumbouya,DET,East,1.3868197040632795e-127,No
Chuma Okeke,ORL,East,3.3042649071904336e-143,No
Wesley Iwundu,DAL,West,9.97286252066295e-148,No
DaQuan Jeffries,SAC,West,2.471653630765004e-149,No
Justin Patton,HOU,West,1.2350406876680336e-151,No
Chasson Randle,ORL,East,2.5589586159714037e-158,No
Terrance Ferguson,PHI,East,1.4584686266478187e-158,No
Dante Exum,CLE,East,5.908759144694786e-165,No
Jaden McDaniels,MIN,West,1.9373566124386424e-168,No
KZ Okpala,MIA,East,2.6502907533998407e-173,No
Theo Pinson,NYK,East,3.0948037107028733e-174,No
Ty-Shon Alexander,PHO,West,1.642970620016714e-179,No
Isaac Okoro,CLE,East,1.8226626480596899e-186,No
Killian Hayes,DET,East,1.1147752035642754e-190,No
Josh Okogie,MIN,West,1.8593728233135236e-193,No
Gary Clark,ORL,East,2.4907723768357393e-197,No
Isaac Bonga,WAS,East,1.3944440961301431e-207,No
Ed Davis,MIN,West,8.012639808065863e-208,No
Patrick McCaw,TOR,East,9.15546686975592e-235,No
Ray Spalding,HOU,West,6.667640739934636e-240,No
Karim Mané,ORL,East,1.3363689504544026e-240,No
P.J. Tucker,HOU,West,5.160368068714561e-241,No
Anžejs Pasečņiks,WAS,East,1.912740698757257e-248,No
Maurice Harkless,MIA,East,5.4650349395754696e-250,No
Jalen Harris,TOR,East,1.6378041231158192e-290,No
Deividas Sirvydis,DET,East,0.0,No
Ashton Hagans,MIN,West,0.0,No
